question,reponse
Annee de deces du general charette,1796
Annee du debut de la WWII,1939
Annee de la chute de l empire romain,476
Le nombre de jour dans une annee,365
En quelle annee Christophe Colomb a t il decouvert lAmerique ,1492
En quelle annee a ete signee la Declaration dindependance des Etats-Unis ,1776
En quelle annee la Premiere Guerre mondiale a t elle commence ,1914
En quelle annee la Deuxieme Guerre mondiale a t elle pris fin en Europe ,1945
En quelle annee lhomme a t il marche sur la Lune pour la premiere fois ,1969
En quelle annee la Revolution francaise a t elle commence ,1789 
En quelle annee la bataille de Waterloo a t elle eu lieu ,1815
En quelle annee a ete fondee la ville de Rome ,-753
En quelle annee a eu lieu la chute du mur de Berlin ,1989
